"product_name","total_revenue","total_profit","avg_profit_margin","profit_category","profit_rank"
"Mountain-200 Black, 42","4009494.76","674216.58","23.99","Medium Margin","1"
"Mountain-200 Black, 38","4400592.80","673444.47","22.06","Medium Margin","2"
"Mountain-200 Black, 46","3309673.22","666740.69","26.79","Medium Margin","3"
"Mountain-200 Silver, 38","3693678.03","663784.94","25.03","Medium Margin","4"
"Mountain-200 Silver, 46","3434256.94","629644.13","25.09","Medium Margin","5"
"Mountain-200 Silver, 42","3438478.86","611084.90","24.70","Medium Margin","6"
"Road-150 Red, 48","1540803.06","470355.02","32.20","Medium Margin","7"
"Road-150 Red, 62","1769096.69","466320.17","27.79","Medium Margin","8"
"Road-150 Red, 52","1415563.61","421110.87","31.19","Medium Margin","9"
"Road-150 Red, 56","1847818.63","406079.28","23.99","Medium Margin","10"
"Road-150 Red, 44","1340419.94","391564.38","30.62","Medium Margin","11"
"Touring-1000 Blue, 54","743353.03","131312.67","20.34","Medium Margin","12"
"Road-250 Red, 58","1587008.18","116027.47","13.41","Low Margin","13"
"Road-250 Red, 48","1348759.50","115504.94","14.24","Low Margin","14"
"Road-350-W Yellow, 44","694003.92","113778.56","21.54","Medium Margin","15"
